Region,Region name,Year,Category,Symbol,Value,Label,Unit
AT,Austria,1992,Forage legumes,B,13.800658913758122,Symbiotic fixation,Gg N
AT,Austria,1992,Oilseeds,B,6.133523322739726,Symbiotic fixation,Gg N
AT,Austria,1992,Other forage crops,B,0.3802092145220079,Symbiotic fixation,Gg N
AT,Austria,1992,Pulses,B,7.322998176000001,Symbiotic fixation,Gg N
AT,Austria,1992,Temporary grassland,B,2.6373616512045612,Symbiotic fixation,Gg N
AT,Austria,1993,Forage legumes,B,15.16457447680898,Symbiotic fixation,Gg N
AT,Austria,1993,Oilseeds,B,8.32509280438356,Symbiotic fixation,Gg N
AT,Austria,1993,Other forage crops,B,0.27578999572438145,Symbiotic fixation,Gg N
AT,Austria,1993,Pulses,B,5.958796896000001,Symbiotic fixation,Gg N
AT,Austria,1993,Temporary grassland,B,1.7343331490995713,Symbiotic fixation,Gg N
AT,Austria,1994,Forage legumes,B,16.17931240351347,Symbiotic fixation,Gg N
AT,Austria,1994,Oilseeds,B,6.975084940273971,Symbiotic fixation,Gg N
AT,Austria,1994,Other forage crops,B,0.29623963481821575,Symbiotic fixation,Gg N
AT,Austria,1994,Pulses,B,6.970657824000001,Symbiotic fixation,Gg N
AT,Austria,1994,Temporary grassland,B,1.8572703533853057,Symbiotic fixation,Gg N
AT,Austria,1995,Forage legumes,B,15.897449966721673,Symbiotic fixation,Gg N
AT,Austria,1995,Oilseeds,B,2.0684125019178077,Symbiotic fixation,Gg N
AT,Austria,1995,Other forage crops,B,0.3105613854849594,Symbiotic fixation,Gg N
AT,Austria,1995,Pulses,B,3.418292356266668,Symbiotic fixation,Gg N
AT,Austria,1995,Temporary grassland,B,2.311710182738357,Symbiotic fixation,Gg N
AT,Austria,1996,Forage legumes,B,16.958243526105143,Symbiotic fixation,Gg N
AT,Austria,1996,Oilseeds,B,1.7787643002739726,Symbiotic fixation,Gg N
AT,Austria,1996,Other forage crops,B,0.13383308324766205,Symbiotic fixation,Gg N
AT,Austria,1996,Pulses,B,4.4934596928,Symbiotic fixation,Gg N
AT,Austria,1996,Temporary grassland,B,2.5191431215971427,Symbiotic fixation,Gg N
AT,Austria,1997,Forage legumes,B,17.889732248267023,Symbiotic fixation,Gg N
AT,Austria,1997,Oilseeds,B,2.2250006531506843,Symbiotic fixation,Gg N
AT,Austria,1997,Other forage crops,B,0.16660853220627317,Symbiotic fixation,Gg N
AT,Austria,1997,Pulses,B,7.211280738133335,Symbiotic fixation,Gg N
AT,Austria,1997,Temporary grassland,B,2.7632558916220407,Symbiotic fixation,Gg N
AT,Austria,1998,Forage legumes,B,18.000049396168492,Symbiotic fixation,Gg N
AT,Austria,1998,Oilseeds,B,3.353551929863013,Symbiotic fixation,Gg N
AT,Austria,1998,Other forage crops,B,0.1868480722683214,Symbiotic fixation,Gg N
AT,Austria,1998,Pulses,B,7.841677930666667,Symbiotic fixation,Gg N
AT,Austria,1998,Temporary grassland,B,2.9867323243871016,Symbiotic fixation,Gg N
AT,Austria,1999,Forage legumes,B,17.688344750997143,Symbiotic fixation,Gg N
AT,Austria,1999,Oilseeds,B,3.3530202213698623,Symbiotic fixation,Gg N
AT,Austria,1999,Other forage crops,B,0.21377576484222308,Symbiotic fixation,Gg N
AT,Austria,1999,Pulses,B,6.288030528,Symbiotic fixation,Gg N
AT,Austria,1999,Temporary grassland,B,3.0029645652805095,Symbiotic fixation,Gg N
AT,Austria,2000,Forage legumes,B,17.418972999791997,Symbiotic fixation,Gg N
AT,Austria,2000,Oilseeds,B,2.182862755068493,Symbiotic fixation,Gg N
AT,Austria,2000,Other forage crops,B,0.26703586939996604,Symbiotic fixation,Gg N
AT,Austria,2000,Pulses,B,4.501124132266667,Symbiotic fixation,Gg N
AT,Austria,2000,Temporary grassland,B,3.3234569494317547,Symbiotic fixation,Gg N
AT,Austria,2001,Forage legumes,B,16.481874427169757,Symbiotic fixation,Gg N
AT,Austria,2001,Oilseeds,B,2.2513866871232873,Symbiotic fixation,Gg N
AT,Austria,2001,Other forage crops,B,0.399433275930424,Symbiotic fixation,Gg N
AT,Austria,2001,Pulses,B,5.209287754666668,Symbiotic fixation,Gg N
