Region;Region name;Year;Symbol;Value;Label;Unit
RO;Romania;1992;Csum;9.37892;Crop area sum;Mha
RO;Romania;1992;Ctot;9.96;FAOSTAT cropland;Mha
RO;Romania;1992;PG;4.83;Permanent grassland;Mha
RO;Romania;1992;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1993;C;9.700769;Cropland in use;Mha
RO;Romania;1993;Csum;9.700769;Crop area sum;Mha
RO;Romania;1993;Ctot;9.941;FAOSTAT cropland;Mha
RO;Romania;1993;PG;4.852;Permanent grassland;Mha
RO;Romania;1993;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1994;C;9.742918000000001;Cropland in use;Mha
RO;Romania;1994;Csum;9.742918000000001;Crop area sum;Mha
RO;Romania;1994;Ctot;9.926;FAOSTAT cropland;Mha
RO;Romania;1994;PG;4.872;Permanent grassland;Mha
RO;Romania;1994;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1995;C;9.750131;Cropland in use;Mha
RO;Romania;1995;Csum;9.750131;Crop area sum;Mha
RO;Romania;1995;Ctot;9.907;FAOSTAT cropland;Mha
RO;Romania;1995;PG;4.89;Permanent grassland;Mha
RO;Romania;1995;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1996;C;9.410214000000002;Cropland in use;Mha
RO;Romania;1996;Csum;9.410214000000002;Crop area sum;Mha
RO;Romania;1996;Ctot;9.882;FAOSTAT cropland;Mha
RO;Romania;1996;PG;4.9;Permanent grassland;Mha
RO;Romania;1996;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1997;C;9.446926000000001;Cropland in use;Mha
RO;Romania;1997;Csum;9.446926000000001;Crop area sum;Mha
RO;Romania;1997;Ctot;9.898;FAOSTAT cropland;Mha
RO;Romania;1997;PG;4.9;Permanent grassland;Mha
RO;Romania;1997;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1998;C;9.388015;Cropland in use;Mha
RO;Romania;1998;Csum;9.388015;Crop area sum;Mha
RO;Romania;1998;Ctot;9.843;FAOSTAT cropland;Mha
RO;Romania;1998;PG;4.904;Permanent grassland;Mha
RO;Romania;1998;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;1999;C;8.961995;Cropland in use;Mha
RO;Romania;1999;Csum;8.961995;Crop area sum;Mha
RO;Romania;1999;Ctot;9.845;FAOSTAT cropland;Mha
RO;Romania;1999;PG;4.936;Permanent grassland;Mha
RO;Romania;1999;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2000;C;8.706913;Cropland in use;Mha
RO;Romania;2000;Csum;8.706913;Crop area sum;Mha
RO;Romania;2000;Ctot;9.908;FAOSTAT cropland;Mha
RO;Romania;2000;PG;4.949;Permanent grassland;Mha
RO;Romania;2000;TG;0.024870000000000003;Temporary grassland;Mha
RO;Romania;2001;C;9.352217999999999;Cropland in use;Mha
RO;Romania;2001;Csum;9.352217999999999;Crop area sum;Mha
RO;Romania;2001;Ctot;9.862;FAOSTAT cropland;Mha
RO;Romania;2001;PG;4.936;Permanent grassland;Mha
