Domain Code;Domain;Area Code (M49);Area;NUTS_ID;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2019;2019;1000 ha;3559;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2020;2020;1000 ha;3595;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2021;2021;1000 ha;3453;A;Official figure;
RL;Land Use;372;Ireland;IE;5110;Area;6656;Perm. meadows & pastures - Cultivated;2022;2022;1000 ha;3298;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2002;2002;1000 ha;12.9;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2003;2003;1000 ha;14.2;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2004;2004;1000 ha;13.9;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2005;2005;1000 ha;14;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2006;2006;1000 ha;3.4;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2007;2007;1000 ha;3.2;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2008;2008;1000 ha;4.8;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2009;2009;1000 ha;6;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2010;2010;1000 ha;6.3;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2011;2011;1000 ha;6.27;A;Official figure;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2012;2012;1000 ha;6.3;I;Imputed value;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2013;2013;1000 ha;6.3;I;Imputed value;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2014;2014;1000 ha;6.3;I;Imputed value;
RL;Land Use;833;Isle of Man;;5110;Area;6656;Perm. meadows & pastures - Cultivated;2015;2015;1000 ha;6.3;I;Imputed value;
