,region,region_name,symbol,year,value,label,unit,confidence
185,AT1,East Austria,C_sum,1997,1.1787599486594753,crop area sum,Mha,calculated
186,AT1,East Austria,AL_sum,1997,0.8973498548868476,arable land area sum,Mha,calculated
187,AT1,East Austria,PC_sum,1997,0.0532,permanent crop area sum,Mha,calculated
188,AT1,East Austria,TG,1997,0.017058515016216,temporary grassland area,Mha,corrected (e)
189,AT1,East Austria,PG,1997,0.2282100937726278,permanent grassland area,Mha,EuropeAgri
190,AT1,East Austria,C_sum,1998,1.1896756991533655,crop area sum,Mha,calculated
191,AT1,East Austria,AL_sum,1998,0.9085267504799659,arable land area sum,Mha,calculated
192,AT1,East Austria,PC_sum,1998,0.0532,permanent crop area sum,Mha,calculated
193,AT1,East Austria,TG,1998,0.0183379036424322,temporary grassland area,Mha,corrected (e)
194,AT1,East Austria,PG,1998,0.22794894867339957,permanent grassland area,Mha,EuropeAgri
195,AT1,East Austria,C_sum,1999,1.160899148400118,crop area sum,Mha,calculated
196,AT1,East Austria,AL_sum,1999,0.8818113448259467,arable land area sum,Mha,calculated
197,AT1,East Austria,PC_sum,1999,0.0514,permanent crop area sum,Mha,calculated
198,AT1,East Austria,TG,1999,0.0183379036424322,temporary grassland area,Mha,corrected (e)
199,AT1,East Austria,PG,1999,0.22768780357417134,permanent grassland area,Mha,EuropeAgri
200,AT1,East Austria,C_sum,2000,1.1000488066833092,crop area sum,Mha,calculated
201,AT1,East Austria,AL_sum,2000,0.827816986866302,arable land area sum,Mha,calculated
202,AT1,East Austria,PC_sum,2000,0.0463873934138588,permanent crop area sum,Mha,calculated
203,AT1,East Austria,TG,2000,0.0201859094358556,temporary grassland area,Mha,corrected (e)
204,AT1,East Austria,PG,2000,0.2258444264031485,permanent grassland area,Mha,EuropeAgri
205,AT1,East Austria,C_sum,2001,1.0887019349817206,crop area sum,Mha,calculated
206,AT1,East Austria,AL_sum,2001,0.8192201421323628,arable land area sum,Mha,calculated
207,AT1,East Austria,PC_sum,2001,0.0454961050936573,permanent crop area sum,Mha,calculated
208,AT1,East Austria,TG,2001,0.0231000724177926,temporary grassland area,Mha,corrected (e)
209,AT1,East Austria,PG,2001,0.22398568775570046,permanent grassland area,Mha,EuropeAgri
210,AT1,East Austria,C_sum,2002,1.0828099360574555,crop area sum,Mha,calculated
211,AT1,East Austria,AL_sum,2002,0.8156373076577124,arable land area sum,Mha,calculated
212,AT1,East Austria,PC_sum,2002,0.0450149563386403,permanent crop area sum,Mha,calculated
213,AT1,East Austria,TG,2002,0.024557153908761,temporary grassland area,Mha,corrected (e)
214,AT1,East Austria,PG,2002,0.22215767206110285,permanent grassland area,Mha,EuropeAgri
215,AT1,East Austria,C_sum,2003,1.0698129194123267,crop area sum,Mha,calculated
216,AT1,East Austria,AL_sum,2003,0.8055326617166043,arable land area sum,Mha,calculated
217,AT1,East Austria,PC_sum,2003,0.0439659628056423,permanent crop area sum,Mha,calculated
218,AT1,East Austria,TG,2003,0.0258720811079277,temporary grassland area,Mha,corrected (e)
219,AT1,East Austria,PG,2003,0.22031429489007998,permanent grassland area,Mha,EuropeAgri
220,AT1,East Austria,C_sum,2004,1.0713510708984841,crop area sum,Mha,calculated
221,AT1,East Austria,AL_sum,2004,0.8103899224443635,arable land area sum,Mha,calculated
222,AT1,East Austria,PC_sum,2004,0.0425055922114888,permanent crop area sum,Mha,calculated
223,AT1,East Austria,TG,2004,0.0264406982751349,temporary grassland area,Mha,corrected (e)
224,AT1,East Austria,PG,2004,0.21845555624263194,permanent grassland area,Mha,EuropeAgri
225,AT1,East Austria,C_sum,2005,1.0701272480017512,crop area sum,Mha,calculated
226,AT1,East Austria,AL_sum,2005,0.8089788342241492,arable land area sum,Mha,calculated
227,AT1,East Austria,PC_sum,2005,0.0445362347059929,permanent crop area sum,Mha,calculated
228,AT1,East Austria,TG,2005,0.0271870083070943,temporary grassland area,Mha,corrected (e)
229,AT1,East Austria,PG,2005,0.2166121790716091,permanent grassland area,Mha,EuropeAgri
230,AT1,East Austria,C_sum,2006,1.0639250820156765,crop area sum,Mha,calculated
231,AT1,East Austria,AL_sum,2006,0.8046274119143854,arable land area sum,Mha,calculated
232,AT1,East Austria,PC_sum,2006,0.044528868200704896,permanent crop area sum,Mha,calculated
233,AT1,East Austria,TG,2006,0.0258010039620268,temporary grassland area,Mha,corrected (e)
234,AT1,East Austria,PG,2006,0.21476880190058625,permanent grassland area,Mha,EuropeAgri
235,AT1,East Austria,C_sum,2007,1.079623411685638,crop area sum,Mha,calculated
236,AT1,East Austria,AL_sum,2007,0.8235958042134885,arable land area sum,Mha,calculated
237,AT1,East Austria,PC_sum,2007,0.043102182742586,permanent crop area sum,Mha,calculated
238,AT1,East Austria,TG,2007,0.0219272995104277,temporary grassland area,Mha,corrected (e)
239,AT1,East Austria,PG,2007,0.21292542472956344,permanent grassland area,Mha,EuropeAgri
240,AT1,East Austria,C_sum,2008,1.090376778103802,crop area sum,Mha,calculated
241,AT1,East Austria,AL_sum,2008,0.8348660130485513,arable land area sum,Mha,calculated
242,AT1,East Austria,PC_sum,2008,0.0444287174967102,permanent crop area sum,Mha,calculated
243,AT1,East Austria,TG,2008,0.0205057565924097,temporary grassland area,Mha,corrected (e)
244,AT1,East Austria,PG,2008,0.2110820475585406,permanent grassland area,Mha,EuropeAgri
245,AT1,East Austria,C_sum,2009,1.088688246102647,crop area sum,Mha,calculated
246,AT1,East Austria,AL_sum,2009,0.8349824028950223,arable land area sum,Mha,calculated
247,AT1,East Austria,PC_sum,2009,0.044467172820106905,permanent crop area sum,Mha,calculated
248,AT1,East Austria,TG,2009,0.0207189880301124,temporary grassland area,Mha,corrected (e)
249,AT1,East Austria,PG,2009,0.20923867038751776,permanent grassland area,Mha,EuropeAgri
250,AT1,East Austria,C_sum,2010,1.0610054466302299,crop area sum,Mha,calculated
251,AT1,East Austria,AL_sum,2010,0.8108826855427749,arable land area sum,Mha,calculated
252,AT1,East Austria,PC_sum,2010,0.0427274678709601,permanent crop area sum,Mha,calculated
253,AT1,East Austria,TG,2010,0.0210281736147813,temporary grassland area,Mha,corrected (e)
254,AT1,East Austria,PG,2010,0.2073952932164949,permanent grassland area,Mha,EuropeAgri
255,AT1,East Austria,C_sum,2011,1.0551358105999558,crop area sum,Mha,calculated
256,AT1,East Austria,AL_sum,2011,0.8075579290025484,arable land area sum,Mha,calculated
257,AT1,East Austria,PC_sum,2011,0.0429015697081712,permanent crop area sum,Mha,calculated
258,AT1,East Austria,TG,2011,0.0208007267478984,temporary grassland area,Mha,corrected (e)
259,AT1,East Austria,PG,2011,0.2046763118892362,permanent grassland area,Mha,EuropeAgri
260,AT1,East Austria,C_sum,2012,1.0541927960248394,crop area sum,Mha,calculated
261,AT1,East Austria,AL_sum,2012,0.8093804905404016,arable land area sum,Mha,calculated
262,AT1,East Austria,PC_sum,2012,0.0428396134460352,permanent crop area sum,Mha,calculated
263,AT1,East Austria,TG,2012,0.0201823555785606,temporary grassland area,Mha,corrected (e)
264,AT1,East Austria,PG,2012,0.2019726920384027,permanent grassland area,Mha,EuropeAgri
265,AT1,East Austria,C_sum,2013,1.0521188777149344,crop area sum,Mha,calculated
266,AT1,East Austria,AL_sum,2013,0.8095259855232981,arable land area sum,Mha,calculated
267,AT1,East Austria,PC_sum,2013,0.0433391814804922,permanent crop area sum,Mha,calculated
268,AT1,East Austria,TG,2013,0.0213551284859254,temporary grassland area,Mha,corrected (e)
269,AT1,East Austria,PG,2013,0.199253710711144,permanent grassland area,Mha,EuropeAgri
270,AT1,East Austria,C_sum,2014,1.0507254646929856,crop area sum,Mha,calculated
271,AT1,East Austria,AL_sum,2014,0.8074508065694815,arable land area sum,Mha,calculated
272,AT1,East Austria,PC_sum,2014,0.04402094741236,permanent crop area sum,Mha,calculated
273,AT1,East Austria,TG,2014,0.0212876051973196,temporary grassland area,Mha,corrected (e)
274,AT1,East Austria,PG,2014,0.199253710711144,permanent grassland area,Mha,EuropeAgri
275,AT1,East Austria,C_sum,2015,1.032929436342078,crop area sum,Mha,calculated
276,AT1,East Austria,AL_sum,2015,0.789113713146343,arable land area sum,Mha,calculated
277,AT1,East Austria,PC_sum,2015,0.0430627323854924,permanent crop area sum,Mha,calculated
278,AT1,East Austria,TG,2015,0.0204346794465088,temporary grassland area,Mha,corrected (e)
279,AT1,East Austria,PG,2015,0.2007529908102426,permanent grassland area,Mha,EuropeAgri
280,AT1,East Austria,C_sum,2016,1.0245695895468987,crop area sum,Mha,calculated
281,AT1,East Austria,AL_sum,2016,0.7856118201614603,arable land area sum,Mha,calculated
282,AT1,East Austria,PC_sum,2016,0.045585967997499796,permanent crop area sum,Mha,calculated
283,AT1,East Austria,TG,2016,0.0185227042217746,temporary grassland area,Mha,corrected (e)
284,AT1,East Austria,PG,2016,0.19337180138793864,permanent grassland area,Mha,EuropeAgri
285,AT1,East Austria,C_sum,2017,1.0170535714398974,crop area sum,Mha,calculated
286,AT1,East Austria,AL_sum,2017,0.7782365105897106,arable land area sum,Mha,calculated
287,AT1,East Austria,PC_sum,2017,0.0454452594622483,permanent crop area sum,Mha,calculated
288,AT1,East Austria,TG,2017,0.0177799480471102,temporary grassland area,Mha,corrected (e)
289,AT1,East Austria,PG,2017,0.19337180138793864,permanent grassland area,Mha,EuropeAgri
290,AT1,East Austria,C_sum,2018,1.0145682241826477,crop area sum,Mha,calculated
291,AT1,East Austria,AL_sum,2018,0.7755762600467064,arable land area sum,Mha,calculated
292,AT1,East Austria,PC_sum,2018,0.0456201627480027,permanent crop area sum,Mha,calculated
293,AT1,East Austria,TG,2018,0.018632873797921,temporary grassland area,Mha,corrected (e)
294,AT1,East Austria,PG,2018,0.19337180138793864,permanent grassland area,Mha,EuropeAgri
295,AT1,East Austria,C_sum,2019,1.0125677748081747,crop area sum,Mha,calculated
296,AT1,East Austria,AL_sum,2019,0.7736910282730521,arable land area sum,Mha,calculated
297,AT1,East Austria,PC_sum,2019,0.045504945147184096,permanent crop area sum,Mha,calculated
