,region,region name,year,symbol,label,unit,value
337,BE3,Région Wallonne,2008,urb_typ,urban typology,no unit,
338,BE3,Région Wallonne,2009,typ,metabolic typology,no unit,DSG
339,BE3,Région Wallonne,2009,urb_typ,urban typology,no unit,
340,BE3,Région Wallonne,2010,typ,metabolic typology,no unit,DSG
341,BE3,Région Wallonne,2010,urb_typ,urban typology,no unit,
342,BE3,Région Wallonne,2011,typ,metabolic typology,no unit,DSG
343,BE3,Région Wallonne,2011,urb_typ,urban typology,no unit,
344,BE3,Région Wallonne,2012,typ,metabolic typology,no unit,DSG
345,BE3,Région Wallonne,2012,urb_typ,urban typology,no unit,
346,BE3,Région Wallonne,2013,typ,metabolic typology,no unit,DSG
347,BE3,Région Wallonne,2013,urb_typ,urban typology,no unit,
348,BE3,Région Wallonne,2014,typ,metabolic typology,no unit,DSG
349,BE3,Région Wallonne,2014,urb_typ,urban typology,no unit,
350,BE3,Région Wallonne,2015,typ,metabolic typology,no unit,DSG
351,BE3,Région Wallonne,2015,urb_typ,urban typology,no unit,
352,BE3,Région Wallonne,2016,typ,metabolic typology,no unit,DSG
353,BE3,Région Wallonne,2016,urb_typ,urban typology,no unit,
354,BE3,Région Wallonne,2017,typ,metabolic typology,no unit,DSG
355,BE3,Région Wallonne,2017,urb_typ,urban typology,no unit,
356,BE3,Région Wallonne,2018,typ,metabolic typology,no unit,DSG
357,BE3,Région Wallonne,2018,urb_typ,urban typology,no unit,
358,BE3,Région Wallonne,2019,typ,metabolic typology,no unit,DSG
359,BE3,Région Wallonne,2019,urb_typ,urban typology,no unit,
360,BG,Bulgaria,1990,typ,metabolic typology,no unit,SCS
361,BG,Bulgaria,1990,urb_typ,urban typology,no unit,
362,BG,Bulgaria,1991,typ,metabolic typology,no unit,SCS
363,BG,Bulgaria,1991,urb_typ,urban typology,no unit,
364,BG,Bulgaria,1992,typ,metabolic typology,no unit,SCS
365,BG,Bulgaria,1992,urb_typ,urban typology,no unit,
366,BG,Bulgaria,1993,typ,metabolic typology,no unit,SCS
