,region,region name,year,symbol,label,unit,value
214,AL,Albania,1998,NS,soil N surplus,kgN/ha,47.38235134946304
215,AL,Albania,1998,NUE,NUE arable,no unit,0.5690620015773942
216,AL,Albania,1999,H_ingestion,total human ingestion,Gg N,21.276066148289363
217,AL,Albania,1999,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.83605985
218,AL,Albania,1999,E_total,total animal excretion,Gg N,87.08095
219,AL,Albania,1999,A_non_edible,non-edible animal production,Gg N,0.620507
220,AL,Albania,1999,Eggs,egg production,Gg N,0.36157999999999996
221,AL,Albania,1999,Milk,cows milk production,Gg N,
222,AL,Albania,1999,Meat_bovine,bovine meat production,Gg N,0.19749
223,AL,Albania,1999,Meat_sheep,sheep meat production,Gg N,0.04134
224,AL,Albania,1999,Meat_goats,goats meat production,Gg N,0.027772
225,AL,Albania,1999,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
226,AL,Albania,1999,Meat_poultry,poultry meat production,Gg N,0.098739
227,AL,Albania,1999,Agri_total,total agricultural production,Gg N,34.26524969913882
228,AL,Albania,1999,M_ingestion,monogastric ingestion,Gg N,6.471088
229,AL,Albania,1999,R_ingestion,ruminant ingestion,Gg N,82.191048
230,AL,Albania,1999,total_A_ingestion,total animal ingestion,Gg N,88.662136
231,AL,Albania,1999,L_density,livestock density,LU/haUAA,0.9901394222507115
232,AL,Albania,1999,F_import,net import feed,Gg N,43.30524012899107
233,AL,Albania,1999,H_total,total crop production,Gg N,33.30457069913882
234,AL,Albania,1999,C_total,total cereal production,Gg N,9.93772915425592
235,AL,Albania,1999,PG_H,permanent grassland production,Gg N,23.763004300000002
236,AL,Albania,1999,F_ingestion,effective fodder ingestion,Gg N,20.410252191753003
237,AL,Albania,1999,total_N_input,soil N input from manure,%,29.949918876114477
238,AL,Albania,1999,NS,soil N surplus,kgN/ha,27.413014112232908
239,AL,Albania,1999,NUE,NUE arable,no unit,0.6845120686937128
240,AL,Albania,2000,H_ingestion,total human ingestion,Gg N,19.28971258945813
241,AL,Albania,2000,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.291199809999999
242,AL,Albania,2000,E_total,total animal excretion,Gg N,88.209045
243,AL,Albania,2000,A_non_edible,non-edible animal production,Gg N,0.620507
244,AL,Albania,2000,Eggs,egg production,Gg N,0.3759
245,AL,Albania,2000,Milk,cows milk production,Gg N,
246,AL,Albania,2000,Meat_bovine,bovine meat production,Gg N,0.19749
247,AL,Albania,2000,Meat_sheep,sheep meat production,Gg N,0.04134
248,AL,Albania,2000,Meat_goats,goats meat production,Gg N,0.027772
249,AL,Albania,2000,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
250,AL,Albania,2000,Meat_poultry,poultry meat production,Gg N,0.098739
251,AL,Albania,2000,Agri_total,total agricultural production,Gg N,34.249024860996805
252,AL,Albania,2000,M_ingestion,monogastric ingestion,Gg N,7.0831029999999995
253,AL,Albania,2000,R_ingestion,ruminant ingestion,Gg N,82.72144800000001
254,AL,Albania,2000,total_A_ingestion,total animal ingestion,Gg N,89.804551
255,AL,Albania,2000,L_density,livestock density,LU/haUAA,1.0175299496311316
256,AL,Albania,2000,F_import,net import feed,Gg N,43.72028813468634
257,AL,Albania,2000,H_total,total crop production,Gg N,33.27402586099681
258,AL,Albania,2000,C_total,total cereal production,Gg N,9.472431202670894
259,AL,Albania,2000,PG_H,permanent grassland production,Gg N,23.763004300000002
260,AL,Albania,2000,F_ingestion,effective fodder ingestion,Gg N,20.785627077642758
261,AL,Albania,2000,total_N_input,soil N input from manure,%,26.87498510981073
262,AL,Albania,2000,NS,soil N surplus,kgN/ha,43.47969262463226
263,AL,Albania,2000,NUE,NUE arable,no unit,0.5929090099736025
264,AL,Albania,2001,H_ingestion,total human ingestion,Gg N,19.320118277086326
265,AL,Albania,2001,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.2995401399999995
266,AL,Albania,2001,E_total,total animal excretion,Gg N,85.871415
267,AL,Albania,2001,A_non_edible,non-edible animal production,Gg N,0.620507
268,AL,Albania,2001,Eggs,egg production,Gg N,0.4296
269,AL,Albania,2001,Milk,cows milk production,Gg N,
270,AL,Albania,2001,Meat_bovine,bovine meat production,Gg N,0.19749
271,AL,Albania,2001,Meat_sheep,sheep meat production,Gg N,0.04134
272,AL,Albania,2001,Meat_goats,goats meat production,Gg N,0.027772
273,AL,Albania,2001,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
274,AL,Albania,2001,Meat_poultry,poultry meat production,Gg N,0.098739
275,AL,Albania,2001,Agri_total,total agricultural production,Gg N,34.60854614654475
276,AL,Albania,2001,M_ingestion,monogastric ingestion,Gg N,7.1710329999999995
277,AL,Albania,2001,R_ingestion,ruminant ingestion,Gg N,80.349588
278,AL,Albania,2001,total_A_ingestion,total animal ingestion,Gg N,87.520621
279,AL,Albania,2001,L_density,livestock density,LU/haUAA,0.9918468161221372
280,AL,Albania,2001,F_import,net import feed,Gg N,41.21675860333952
281,AL,Albania,2001,H_total,total crop production,Gg N,33.57984714654474
282,AL,Albania,2001,C_total,total cereal production,Gg N,9.381071202670894
283,AL,Albania,2001,PG_H,permanent grassland production,Gg N,23.763004300000002
284,AL,Albania,2001,F_ingestion,effective fodder ingestion,Gg N,21.109097103989583
285,AL,Albania,2001,total_N_input,soil N input from manure,%,24.66610545720084
286,AL,Albania,2001,NS,soil N surplus,kgN/ha,51.13593582361404
287,AL,Albania,2001,NUE,NUE arable,no unit,0.5598628717677783
288,AL,Albania,2002,H_ingestion,total human ingestion,Gg N,19.280384646707226
289,AL,Albania,2002,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.288641139999999
290,AL,Albania,2002,E_total,total animal excretion,Gg N,83.88931000000001
291,AL,Albania,2002,A_non_edible,non-edible animal production,Gg N,0.620507
292,AL,Albania,2002,Eggs,egg production,Gg N,0.43676
293,AL,Albania,2002,Milk,cows milk production,Gg N,
294,AL,Albania,2002,Meat_bovine,bovine meat production,Gg N,0.19749
295,AL,Albania,2002,Meat_sheep,sheep meat production,Gg N,0.04134
296,AL,Albania,2002,Meat_goats,goats meat production,Gg N,0.027772
297,AL,Albania,2002,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
298,AL,Albania,2002,Meat_poultry,poultry meat production,Gg N,0.098739
299,AL,Albania,2002,Agri_total,total agricultural production,Gg N,35.082920565767665
300,AL,Albania,2002,M_ingestion,monogastric ingestion,Gg N,7.836228
301,AL,Albania,2002,R_ingestion,ruminant ingestion,Gg N,77.709448
302,AL,Albania,2002,total_A_ingestion,total animal ingestion,Gg N,85.54567600000001
303,AL,Albania,2002,L_density,livestock density,LU/haUAA,0.9732664394543104
304,AL,Albania,2002,F_import,net import feed,Gg N,38.74069630504351
305,AL,Albania,2002,H_total,total crop production,Gg N,34.04706156576766
306,AL,Albania,2002,C_total,total cereal production,Gg N,9.379951202670894
307,AL,Albania,2002,PG_H,permanent grassland production,Gg N,23.763004300000002
308,AL,Albania,2002,F_ingestion,effective fodder ingestion,Gg N,21.594985902285607
309,AL,Albania,2002,total_N_input,soil N input from manure,%,24.62928931908023
310,AL,Albania,2002,NS,soil N surplus,kgN/ha,50.90573471960364
311,AL,Albania,2002,NUE,NUE arable,no unit,0.5607332410434342
312,AL,Albania,2003,H_ingestion,total human ingestion,Gg N,19.2045438680868
313,AL,Albania,2003,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.26783789
314,AL,Albania,2003,E_total,total animal excretion,Gg N,84.78966
315,AL,Albania,2003,A_non_edible,non-edible animal production,Gg N,0.620507
316,AL,Albania,2003,Eggs,egg production,Gg N,0.47614
317,AL,Albania,2003,Milk,cows milk production,Gg N,
318,AL,Albania,2003,Meat_bovine,bovine meat production,Gg N,0.19749
319,AL,Albania,2003,Meat_sheep,sheep meat production,Gg N,0.04134
320,AL,Albania,2003,Meat_goats,goats meat production,Gg N,0.027772
321,AL,Albania,2003,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
322,AL,Albania,2003,Meat_poultry,poultry meat production,Gg N,0.098739
323,AL,Albania,2003,Agri_total,total agricultural production,Gg N,35.288838901558215
324,AL,Albania,2003,M_ingestion,monogastric ingestion,Gg N,8.225358
325,AL,Albania,2003,R_ingestion,ruminant ingestion,Gg N,78.260048
326,AL,Albania,2003,total_A_ingestion,total animal ingestion,Gg N,86.485406
327,AL,Albania,2003,L_density,livestock density,LU/haUAA,0.9935097531604736
328,AL,Albania,2003,F_import,net import feed,Gg N,39.558529610710345
329,AL,Albania,2003,H_total,total crop production,Gg N,34.21359990155821
330,AL,Albania,2003,C_total,total cereal production,Gg N,9.363807202670893
331,AL,Albania,2003,PG_H,permanent grassland production,Gg N,23.763004300000002
332,AL,Albania,2003,F_ingestion,effective fodder ingestion,Gg N,21.701821721618757
333,AL,Albania,2003,total_N_input,soil N input from manure,%,24.473132085661902
334,AL,Albania,2003,NS,soil N surplus,kgN/ha,54.362849316842166
335,AL,Albania,2003,NUE,NUE arable,no unit,0.5458873970969871
336,AL,Albania,2004,H_ingestion,total human ingestion,Gg N,19.136668736318565
337,AL,Albania,2004,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.24921963
338,AL,Albania,2004,E_total,total animal excretion,Gg N,81.643485
339,AL,Albania,2004,A_non_edible,non-edible animal production,Gg N,0.620507
340,AL,Albania,2004,Eggs,egg production,Gg N,0.5191
341,AL,Albania,2004,Milk,cows milk production,Gg N,
342,AL,Albania,2004,Meat_bovine,bovine meat production,Gg N,0.19749
343,AL,Albania,2004,Meat_sheep,sheep meat production,Gg N,0.04134
344,AL,Albania,2004,Meat_goats,goats meat production,Gg N,0.027772
345,AL,Albania,2004,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
346,AL,Albania,2004,Meat_poultry,poultry meat production,Gg N,0.098739
347,AL,Albania,2004,Agri_total,total agricultural production,Gg N,35.67807463307678
348,AL,Albania,2004,M_ingestion,monogastric ingestion,Gg N,8.907743
349,AL,Albania,2004,R_ingestion,ruminant ingestion,Gg N,74.474448
350,AL,Albania,2004,total_A_ingestion,total animal ingestion,Gg N,83.38219099999999
351,AL,Albania,2004,L_density,livestock density,LU/haUAA,0.965297755950048
352,AL,Albania,2004,F_import,net import feed,Gg N,36.15190775825187
353,AL,Albania,2004,H_total,total crop production,Gg N,34.559875633076786
354,AL,Albania,2004,C_total,total cereal production,Gg N,9.512559202670893
355,AL,Albania,2004,PG_H,permanent grassland production,Gg N,23.763004300000002
356,AL,Albania,2004,F_ingestion,effective fodder ingestion,Gg N,21.828549184077215
357,AL,Albania,2004,total_N_input,soil N input from manure,%,25.415856322617746
358,AL,Albania,2004,NS,soil N surplus,kgN/ha,48.642613824070914
359,AL,Albania,2004,NUE,NUE arable,no unit,0.5729744471030059
360,AL,Albania,2005,H_ingestion,total human ingestion,Gg N,19.04460654542274
361,AL,Albania,2005,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.22396682
362,AL,Albania,2005,E_total,total animal excretion,Gg N,81.588785
363,AL,Albania,2005,A_non_edible,non-edible animal production,Gg N,0.620507
364,AL,Albania,2005,Eggs,egg production,Gg N,0.48867
365,AL,Albania,2005,Milk,cows milk production,Gg N,
366,AL,Albania,2005,Meat_bovine,bovine meat production,Gg N,0.19749
367,AL,Albania,2005,Meat_sheep,sheep meat production,Gg N,0.04134
368,AL,Albania,2005,Meat_goats,goats meat production,Gg N,0.027772
369,AL,Albania,2005,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
370,AL,Albania,2005,Meat_poultry,poultry meat production,Gg N,0.098739
371,AL,Albania,2005,Agri_total,total agricultural production,Gg N,35.84683851178268
372,AL,Albania,2005,M_ingestion,monogastric ingestion,Gg N,9.032913
373,AL,Albania,2005,R_ingestion,ruminant ingestion,Gg N,74.264148
374,AL,Albania,2005,total_A_ingestion,total animal ingestion,Gg N,83.297061
375,AL,Albania,2005,L_density,livestock density,LU/haUAA,0.9803658923029733
