Domain Code;Domain;region;Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2015;2015;1000 No;11197000;E;Estimated value;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2016;2016;t;640000;E;Estimated value;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2016;2016;1000 No;10848000;E;Estimated value;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5510;Production;231;Hen eggs in shell, fresh;2017;2017;t;643000;E;Estimated value;
QCL;Crops and livestock products;NL;Netherlands (Kingdom of the);5513;Production;231;Hen eggs in shell, fresh;2017;2017;1000 No;10902000;E;Estimated value;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1992;1992;t;25800;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1992;1992;1000 No;516177;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1993;1993;t;25660;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1993;1993;1000 No;513390;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1994;1994;t;25500;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1994;1994;1000 No;510148;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1995;1995;t;24200;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1995;1995;1000 No;485000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1996;1996;t;21730;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1996;1996;1000 No;435000;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5510;Production;231;Hen eggs in shell, fresh;1997;1997;t;23903;A;Official figure;
QCL;Crops and livestock products;MK;North Macedonia;5513;Production;231;Hen eggs in shell, fresh;1997;1997;1000 No;425000;A;Official figure;
